actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
603,PT04M01.00S,2024-11-13T02:05:04.6Z,4,REGULAR,2pt,Jump Shot,[],1630811,77.87450722733246,55.88235294117647,1610612737,107,104,2024-11-13T02:05:11Z,5960000,False,29.0,155.0,1,right,MISS K. Wallace 15' pullup Shot,[1630811],1610612737.0,ATL,pullup,,,Wallace,K. Wallace,,,,,Mid-Range,8-16 Center,15.83,Missed,,,,,,,,,,,,,,,,,,
604,PT03M59.00S,2024-11-13T02:05:06.6Z,4,REGULAR,rebound,offensive,[],1630168,,,1610612737,107,104,2024-11-13T02:05:11Z,5970000,False,,,0,,O. Okongwu REBOUND (Off:3 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Center,,,,,603.0,5.0,2.0,3.0,,,,,,,,,,,,
605,PT03M50.00S,2024-11-13T02:05:15.2Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630700,93.38042049934296,40.44117647058824,1610612737,107,106,2024-11-13T02:05:20Z,5980000,False,-48.0,10.0,1,right,D. Daniels cutting Layup (26 PTS) (K. Wallace 8 AST),"[1630700, 1630811]",1610612737.0,ATL,cutting,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,4.88,Made,,,,,,,,,,,26.0,K. Wallace,1630811.0,8.0,,,,
607,PT03M28.00S,2024-11-13T02:05:37.3Z,4,REGULAR,turnover,lost ball,[],1628369,,,1610612738,107,106,2024-11-13T02:09:47Z,6000000,False,,,0,,J. Tatum lost ball TURNOVER (5 TO),"[1628369, 1630552]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,,,,,,,,,,5.0,Johnson,1630552.0,,,,,,,,
608,PT03M28.00S,2024-11-13T02:05:37.3Z,4,REGULAR,steal,,[],1630552,,,1610612737,107,106,2024-11-13T02:05:39Z,6010000,False,,,0,,J. Johnson STEAL (3 STL),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
609,PT03M10.00S,2024-11-13T02:05:55.1Z,4,REGULAR,2pt,Jump Shot,['fromturnover'],1626204,80.3712220762155,81.12745098039215,1610612737,107,106,2024-11-13T02:06:01Z,6020000,False,156.0,132.0,1,right,MISS L. Nance Jr. 20' Jump Shot,[1626204],1610612737.0,ATL,,,,Nance Jr.,L. Nance Jr.,,,,,Mid-Range,16-24 Right Center,20.4,Missed,,,,,,,,,,,,,,,,,,
610,PT03M09.00S,2024-11-13T02:05:56.1Z,4,REGULAR,rebound,defensive,[],1628401,,,1610612738,107,106,2024-11-13T02:06:01Z,6030000,False,,,0,,D. White REBOUND (Off:1 Def:5),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Right Center,,,,,609.0,6.0,5.0,1.0,,,,,,,,,,,,
611,PT03M05.00S,2024-11-13T02:06:04.1Z,4,REGULAR,foul,personal,['2freethrow'],1630700,,,1610612738,107,106,2024-11-13T02:06:13Z,6040000,False,,,0,,D. Daniels shooting personal FOUL (2 PF) (Brown 2 FT),"[1630700, 1627759]",1610612737.0,ATL,shooting,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,2004.0,,,,,,,,2.0,0.0,Brown,1627759.0
613,PT03M05.00S,2024-11-13T02:06:26.6Z,4,REGULAR,timeout,full,['team'],0,,,1610612738,107,106,2024-11-13T02:06:26Z,6060000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,PT03M05.00S,2024-11-13T02:09:20.5Z,4,REGULAR,freethrow,1 of 2,['fastbreak'],1627759,,,1610612738,107,106,2024-11-13T03:08:58Z,6080000,False,,,0,,MISS J. Brown Free Throw 1 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
616,PT03M05.00S,2024-11-13T02:09:20.5Z,4,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612738,107,106,2024-11-13T03:08:58Z,6090000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,615.0,,,,,,,,,,,,,,,
617,PT03M05.00S,2024-11-13T02:09:20.5Z,4,REGULAR,freethrow,2 of 2,['fastbreak'],1627759,,,1610612738,108,106,2024-11-13T03:08:58Z,6100000,False,,,0,,J. Brown Free Throw 2 of 2 (32 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,,,,,,,32.0,,,,,,,
618,PT02M54.00S,2024-11-13T02:09:54.6Z,4,REGULAR,foul,personal,['2freethrow'],201143,,,1610612737,108,106,2024-11-13T02:10:04Z,6110000,False,,,0,,A. Horford shooting personal FOUL (1 PF) (Daniels 2 FT),"[201143, 1630700]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,,2004.0,,,,,,,,1.0,0.0,Daniels,1630700.0
620,PT02M54.00S,2024-11-13T02:10:20.8Z,4,REGULAR,freethrow,1 of 2,[],1630700,,,1610612737,108,107,2024-11-13T02:10:20Z,6130000,False,,,0,,D. Daniels Free Throw 1 of 2 (27 PTS),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,Made,,,,,,,,,,,27.0,,,,,,,
621,PT02M54.00S,2024-11-13T02:10:35.7Z,4,REGULAR,freethrow,2 of 2,[],1630700,,,1610612737,108,108,2024-11-13T02:10:35Z,6140000,False,,,0,,D. Daniels Free Throw 2 of 2 (28 PTS),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,Made,,,,,,,,,,,28.0,,,,,,,
622,PT02M34.00S,2024-11-13T02:10:59.8Z,4,REGULAR,foul,personal,['2freethrow'],1630168,,,1610612738,108,108,2024-11-13T02:11:08Z,6150000,False,,,0,,O. Okongwu shooting personal FOUL (4 PF) (Brown 2 FT),"[1630168, 1627759]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1626300.0,,,,,,,,4.0,0.0,Brown,1627759.0
624,PT02M34.00S,2024-11-13T02:11:30.4Z,4,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,108,108,2024-11-13T02:12:04Z,6170000,False,,,0,,MISS J. Brown Free Throw 1 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
625,PT02M34.00S,2024-11-13T02:11:30.4Z,4,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612738,108,108,2024-11-13T02:12:04Z,6180000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,624.0,,,,,,,,,,,,,,,
626,PT02M34.00S,2024-11-13T02:11:30.4Z,4,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,108,108,2024-11-13T02:12:04Z,6190000,False,,,0,,MISS J. Brown Free Throw 2 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
627,PT02M34.00S,2024-11-13T02:11:30.4Z,4,REGULAR,rebound,defensive,[],1630552,,,1610612737,108,108,2024-11-13T02:12:04Z,6200000,False,,,0,,J. Johnson REBOUND (Off:2 Def:9),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,626.0,11.0,9.0,2.0,,,,,,,,,,,,
628,PT02M17.00S,2024-11-13T02:12:10.8Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630811,88.91261498028909,62.745098039215684,1610612737,108,108,2024-11-13T02:12:49Z,6210000,False,64.0,52.0,1,right,MISS K. Wallace 8' driving floating Shot,[1630811],1610612737.0,ATL,driving floating,,,Wallace,K. Wallace,,,,,In The Paint (Non-RA),8-16 Right,8.2,Missed,,,,,,,,,,,,,,,,,,
629,PT02M15.00S,2024-11-13T02:12:12.8Z,4,REGULAR,rebound,defensive,[],1627759,,,1610612738,108,108,2024-11-13T02:12:17Z,6220000,False,,,0,,J. Brown REBOUND (Off:2 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Right,,,,,628.0,5.0,3.0,2.0,,,,,,,,,,,,
630,PT01M57.00S,2024-11-13T02:12:30.3Z,4,REGULAR,3pt,Jump Shot,[],1628401,23.866622864651774,87.00980392156863,1610612738,111,108,2024-11-13T02:12:34Z,6230000,False,-185.0,172.0,1,left,D. White 25' 3PT  (31 PTS) (J. Tatum 8 AST),"[1628401, 1628369]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,25.25,Made,,,,,,,,,,,31.0,J. Tatum,1628369.0,8.0,,,,
632,PT01M39.00S,2024-11-13T02:12:53.4Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,92.9862023653088,58.08823529411765,1610612737,111,110,2024-11-13T02:13:00Z,6250000,False,40.0,13.0,1,right,J. Johnson driving reverse Layup (18 PTS),[1630552],1610612737.0,ATL,driving reverse,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,4.26,Made,,,,,,,,,,,18.0,,,,,,,
633,PT01M24.00S,2024-11-13T02:13:11.6Z,4,REGULAR,3pt,Jump Shot,[],1627759,34.11629434954008,52.450980392156865,1610612738,114,110,2024-11-13T02:13:15Z,6260000,False,-12.0,268.0,1,left,J. Brown 26' 3PT pullup (35 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,26.85,Made,,,,,,,,,,,35.0,,,,,,,
634,PT01M14.00S,2024-11-13T02:13:25.7Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,81.02825229960578,34.55882352941176,1610612737,114,110,2024-11-13T02:13:56Z,6270000,False,-77.0,126.0,1,right,MISS J. Johnson 14' driving floating Shot,[1630552],1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Left,14.76,Missed,,,,,,,,,,,,,,,,,,
635,PT01M14.00S,2024-11-13T02:13:25.7Z,4,REGULAR,rebound,offensive,[],1630552,,,1610612737,114,110,2024-11-13T02:13:56Z,6280000,False,,,0,,J. Johnson REBOUND (Off:3 Def:9),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Left,,,,,634.0,12.0,9.0,3.0,,,,,,,,,,,,
636,PT01M09.00S,2024-11-13T02:13:29.9Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1626204,92.24704336399473,4.434742647058823,1610612737,114,113,2024-11-13T02:13:37Z,6290000,False,-228.0,20.0,1,right,L. Nance Jr. 3PT  (19 PTS) (J. Johnson 10 AST),"[1626204, 1630552]",1610612737.0,ATL,,,,Nance Jr.,L. Nance Jr.,,,,,Left Corner 3,24+ Left,22.87,Made,,,,,,,,,,,19.0,J. Johnson,1630552.0,10.0,,,,
638,PT00M54.20S,2024-11-13T02:13:56.9Z,4,REGULAR,2pt,Jump Shot,[],1627759,22.158344283837057,57.59803921568627,1610612738,116,113,2024-11-13T02:14:30Z,6310000,False,-38.0,156.0,1,left,J. Brown 16' fadeaway Jump Shot (37 PTS) (D. White 5 AST),"[1627759, 1628401]",1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,Mid-Range,8-16 Center,16.04,Made,,,,,,,,,,,37.0,D. White,1628401.0,5.0,,,,
640,PT00M42.80S,2024-11-13T02:14:12.2Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630811,79.84559789750328,51.9607843137255,1610612737,116,115,2024-11-13T02:14:17Z,6330000,False,10.0,137.0,1,right,K. Wallace 13' driving floating Jump Shot (7 PTS),[1630811],1610612737.0,ATL,driving floating,,,Wallace,K. Wallace,,,,,In The Paint (Non-RA),8-16 Center,13.74,Made,,,,,,,,,,,7.0,,,,,,,
641,PT00M23.50S,2024-11-13T02:14:34.4Z,4,REGULAR,3pt,Jump Shot,[],1628369,9.149145860709593,97.05882352941177,1610612738,116,115,2024-11-13T02:14:42Z,6340000,False,-235.0,34.0,1,left,MISS J. Tatum 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Left Corner 3,24+ Left,23.77,Missed,,,,,,,,,,,,,,,,,,
642,PT00M21.90S,2024-11-13T02:14:36.0Z,4,REGULAR,rebound,defensive,[],1630552,,,1610612737,116,115,2024-11-13T02:14:42Z,6350000,False,,,0,,J. Johnson REBOUND (Off:3 Def:10),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Left Corner 3,24+ Left,,,,,641.0,13.0,10.0,3.0,,,,,,,,,,,,
643,PT00M12.70S,2024-11-13T02:14:49.0Z,4,REGULAR,timeout,full,['team'],0,,,1610612737,116,115,2024-11-13T02:14:49Z,6360000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,PT00M07.30S,2024-11-13T02:16:46.0Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,84.83902759526939,40.68627450980392,1610612737,116,115,2024-11-13T02:17:05Z,6370000,False,-47.0,90.0,1,right,MISS D. Daniels 10' driving floating Shot,[1630700],1610612737.0,ATL,driving floating,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,10.13,Missed,,,,,,,,,,,,,,,,,,
645,PT00M06.10S,2024-11-13T02:16:47.2Z,4,REGULAR,rebound,offensive,[],1630168,,,1610612737,116,115,2024-11-13T02:17:05Z,6380000,False,,,0,,O. Okongwu REBOUND (Off:4 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,,,,,644.0,6.0,2.0,4.0,,,,,,,,,,,,
646,PT00M06.10S,2024-11-13T02:16:50.6Z,4,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630168,94.40999984741211,50.0,1610612737,116,117,2024-11-13T02:17:07Z,6390000,False,0.0,0.0,1,right,O. Okongwu tip Layup (15 PTS),[1630168],1610612737.0,ATL,tip,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,,15.0,,,,,,,
647,PT00M06.10S,2024-11-13T02:16:54.5Z,4,REGULAR,timeout,full,['team'],0,,,1610612738,116,117,2024-11-13T02:16:54Z,6400000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,PT00M05.00S,2024-11-13T02:18:32.6Z,4,REGULAR,foul,personal,[],1630700,,,1610612738,116,117,2024-11-13T02:18:45Z,6410000,False,,,0,,D. Daniels personal FOUL (3 PF),"[1630700, 1627759]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Mid-Range,16-24 Center,,,,,,,,,1626300.0,,,,,,,,3.0,0.0,Brown,1627759.0
650,PT00M05.00S,2024-11-13T02:18:46.2Z,4,REGULAR,timeout,full,['team'],0,,,1610612738,116,117,2024-11-13T02:18:46Z,6430000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,PT00M04.30S,2024-11-13T02:20:21.8Z,4,REGULAR,turnover,out-of-bounds,[],201950,,,1610612738,116,117,2024-11-13T02:20:38Z,6440000,False,,,0,,J. Holiday bad pass out-of-bounds TURNOVER (2 TO),[201950],1610612738.0,BOS,bad pass,,,Holiday,J. Holiday,,,,,Mid-Range,8-16 Left,,,,,,,,,,2.0,,,,,,,,,,
652,PT00M04.30S,2024-11-13T02:20:42.6Z,4,REGULAR,timeout,full,['team'],0,,,1610612737,116,117,2024-11-13T02:20:42Z,6450000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,PT00M03.70S,2024-11-13T02:22:33.5Z,4,REGULAR,turnover,out-of-bounds,[],1630700,,,1610612737,116,117,2024-11-13T02:23:05Z,6460000,False,,,0,,D. Daniels bad pass out-of-bounds TURNOVER (6 TO),[1630700],1610612737.0,ATL,bad pass,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,,,,,,,,,2004.0,6.0,,,,,,,,,,
655,PT00M00.00S,2024-11-13T02:23:12.9Z,4,REGULAR,2pt,Jump Shot,['fromturnover'],1627759,16.507884362680684,67.40196078431373,1610612738,116,117,2024-11-13T02:23:19Z,6480000,False,-87.0,103.0,1,left,MISS J. Brown 13' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,13.46,Missed,,,,,,,,,,,,,,,,,,
656,PT00M00.00S,2024-11-13T02:23:18.3Z,4,REGULAR,rebound,offensive,['team'],0,,,1610612738,116,117,2024-11-13T02:23:18Z,6490000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Mid-Range,8-16 Left,,,,,655.0,,,,,,,,,,,,,,,
657,PT00M00.00S,2024-11-13T02:23:20.4Z,4,REGULAR,period,end,[],0,,,1610612738,116,117,2024-11-13T02:23:20Z,6500000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,PT00M00.00S,2024-11-13T02:24:23.8Z,4,REGULAR,game,end,[],0,,,0,116,117,2024-11-13T02:24:23Z,6510000,False,,,0,,Game End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
